index,kind,status,worker_id,elapsed_s,error
1,small,200,groq_worker_1_3,0.72,
2,small,200,groq_worker_1_4,0.94,
3,small,200,groq_worker_1_3,68.42,
4,large,200,groq_worker_1_3,82.69,
5,small,200,groq_worker_2_3,0.91,
6,small,200,groq_worker_1_3,0.94,
7,small,200,worker_1_1,63.94,
8,small,200,groq_worker_1_4,0.75,
9,small,200,groq_worker_1_2,1.12,
10,small,200,groq_worker_2_2,1.55,
11,small,200,groq_worker_1_3,85.0,
12,small,200,groq_worker_2_2,0.94,
13,large,200,groq_worker_1_4,48.49,
14,small,200,groq_worker_2_3,1.16,
15,small,200,groq_worker_1_3,82.86,
16,large,200,groq_worker_2_2,113.45,
17,small,200,groq_worker_2_4,0.78,
18,small,200,groq_worker_2_4,0.94,
19,small,200,groq_worker_2_4,11.95,
20,small,200,groq_worker_2_2,0.78,
21,small,200,groq_worker_1_2,1.0,
22,small,200,groq_worker_2_3,113.52,
23,small,200,groq_worker_1_2,0.78,
24,small,200,groq_worker_1_3,1.16,
25,small,200,groq_worker_1_2,86.74,
26,large,200,groq_worker_2_2,13.99,
27,small,200,groq_worker_1_3,4.16,
28,small,200,groq_worker_2_4,1.16,
29,small,200,groq_worker_2_3,41.52,
30,small,200,groq_worker_2_4,107.17,
31,small,200,groq_worker_1_4,4.16,
32,small,200,groq_worker_2_3,0.78,
33,large,200,groq_worker_1_4,1.16,
34,small,200,groq_worker_2_2,94.56,
35,small,200,worker_1_1,7.89,
36,large,200,groq_worker_1_2,113.84,
37,small,200,worker_2_1,5.84,
38,small,200,worker_1_1,75.83,
39,small,200,groq_worker_1_3,42.69,
40,small,200,groq_worker_2_3,1.64,
41,large,200,groq_worker_2_4,109.38,
42,small,200,groq_worker_2_4,1.66,
43,small,200,worker_2_1,50.91,
44,large,200,groq_worker_2_3,106.78,
45,small,200,groq_worker_1_2,3.98,
46,small,200,groq_worker_2_3,12.02,
47,large,200,groq_worker_1_4,97.14,
48,small,200,groq_worker_2_4,14.22,
49,large,200,groq_worker_2_4,107.02,
50,small,200,worker_1_1,60.05,
51,small,200,groq_worker_2_3,111.28,
52,small,200,worker_1_1,94.3,
53,large,200,groq_worker_2_4,113.86,
54,small,200,groq_worker_2_4,111.62,
55,small,200,groq_worker_1_3,109.72,
56,small,200,worker_2_1,108.14,
57,large,200,groq_worker_1_3,47.22,
58,small,200,groq_worker_2_4,84.89,
59,small,200,worker_1_1,67.47,
60,small,200,groq_worker_2_2,4.09,
61,small,200,groq_worker_1_4,113.75,
62,small,200,groq_worker_2_3,120.16,
63,small,200,groq_worker_1_3,114.19,
64,small,200,groq_worker_1_2,5.78,
65,small,200,groq_worker_1_4,76.78,
66,small,200,groq_worker_2_4,4.7,
67,small,200,groq_worker_1_4,56.17,
68,small,200,worker_1_1,131.98,
69,small,200,groq_worker_2_4,4.09,
70,large,200,groq_worker_1_4,27.81,
71,large,200,groq_worker_1_3,111.94,
72,large,200,groq_worker_2_2,134.81,
73,small,200,worker_2_1,89.14,
74,small,200,groq_worker_2_3,4.09,
75,small,200,groq_worker_2_3,4.5,
76,large,200,groq_worker_1_4,132.75,
77,small,200,groq_worker_2_2,96.73,
78,small,200,worker_2_1,130.83,
79,small,200,worker_2_1,40.75,
80,small,200,groq_worker_2_3,97.0,
81,small,200,worker_2_1,115.45,
82,small,200,groq_worker_2_2,137.03,
83,small,200,groq_worker_2_4,4.5,
84,small,200,worker_1_1,38.41,
85,small,200,groq_worker_2_2,4.48,
86,large,200,groq_worker_2_2,1.36,
87,small,200,groq_worker_1_4,56.38,
88,small,200,groq_worker_1_3,4.42,
89,small,200,groq_worker_1_4,58.62,
90,small,200,worker_2_1,94.48,
91,small,200,groq_worker_2_2,5.8,
92,small,200,groq_worker_1_2,65.73,
93,small,200,groq_worker_1_3,70.62,
94,small,200,worker_1_1,79.55,
95,small,200,groq_worker_1_2,4.28,
96,small,200,groq_worker_2_3,65.12,
97,small,200,worker_2_1,30.2,
98,large,200,groq_worker_1_2,4.64,
99,small,200,groq_worker_2_3,1.53,
100,small,200,groq_worker_1_4,4.41,
101,small,200,groq_worker_1_3,35.77,
102,small,200,groq_worker_1_4,72.3,
103,large,200,groq_worker_1_4,1.53,
104,small,200,worker_2_1,14.25,
105,large,200,groq_worker_2_4,20.92,
106,large,200,groq_worker_2_3,5.78,
107,small,200,worker_1_1,88.39,
108,small,200,worker_2_1,117.45,
109,small,200,groq_worker_1_4,4.25,
110,large,200,groq_worker_2_4,1.5,
111,large,200,groq_worker_1_4,4.97,
112,small,200,groq_worker_2_3,1.36,
113,large,200,groq_worker_1_4,65.25,
114,small,200,groq_worker_2_2,4.66,
115,small,200,groq_worker_1_2,4.48,
116,small,200,groq_worker_1_3,4.27,
117,small,200,groq_worker_2_2,2.06,
118,large,200,groq_worker_2_3,25.52,
119,small,200,groq_worker_2_3,4.72,
120,small,200,groq_worker_2_2,18.48,
121,small,200,groq_worker_1_4,115.97,
122,small,200,groq_worker_1_2,116.05,
123,small,200,groq_worker_2_3,21.09,
124,small,200,groq_worker_2_4,5.7,
125,large,200,groq_worker_1_3,5.75,
126,large,200,groq_worker_1_2,1.53,
127,small,200,groq_worker_1_4,5.75,
128,large,200,groq_worker_2_2,120.17,
129,large,200,groq_worker_2_4,120.52,
130,large,200,groq_worker_1_4,118.25,
131,small,200,groq_worker_2_4,118.3,
132,small,200,worker_1_1,133.16,
133,large,200,groq_worker_1_3,116.41,
134,small,200,worker_1_1,55.98,
135,large,200,groq_worker_2_4,97.44,
136,large,200,groq_worker_1_2,132.73,
137,large,200,groq_worker_2_2,41.19,
138,small,200,groq_worker_1_3,95.44,
139,small,200,worker_1_1,9.52,
140,large,200,groq_worker_2_2,64.84,
141,small,200,groq_worker_1_2,132.86,
142,large,200,groq_worker_1_4,132.94,
143,large,200,groq_worker_1_2,135.08,
144,small,200,worker_2_1,38.3,
145,large,200,groq_worker_1_3,1.44,
