index,kind,status,worker_id,elapsed_s,error
1,small,200,groq_worker_1_2,0.89,
2,small,200,groq_worker_1_2,0.73,
3,small,200,groq_worker_1_3,0.72,
4,large,200,groq_worker_2_2,0.88,
5,small,200,groq_worker_1_3,0.98,
6,small,200,groq_worker_2_4,0.83,
7,small,200,groq_worker_2_3,1.06,
8,small,200,groq_worker_2_2,1.01,
9,small,200,groq_worker_1_4,1.19,
10,small,200,groq_worker_1_2,1.0,
11,small,200,groq_worker_2_4,0.97,
12,small,200,groq_worker_2_3,0.8,
13,large,200,groq_worker_1_4,0.86,
14,small,200,groq_worker_2_2,0.75,
15,small,200,groq_worker_1_3,0.86,
16,large,200,groq_worker_1_4,1.01,
17,small,200,groq_worker_2_3,0.95,
18,small,200,groq_worker_1_3,1.14,
19,small,200,worker_1_1,16.72,
20,small,200,groq_worker_2_3,1.2,
21,small,200,groq_worker_2_4,1.14,
22,small,200,groq_worker_2_4,1.28,
23,small,200,worker_2_1,15.39,
24,small,200,groq_worker_1_2,1.17,
25,small,200,groq_worker_1_3,1.28,
26,large,200,groq_worker_2_2,1.17,
27,small,200,groq_worker_1_2,1.3,
28,small,200,groq_worker_2_3,1.33,
29,small,200,groq_worker_2_2,1.31,
30,small,200,groq_worker_1_4,1.31,
31,small,200,groq_worker_1_2,1.42,
32,small,200,groq_worker_2_4,1.38,
33,large,200,groq_worker_1_3,1.38,
34,small,200,groq_worker_2_2,1.45,
35,small,200,groq_worker_2_3,1.45,
36,large,200,groq_worker_1_4,1.44,
37,small,200,groq_worker_1_2,1.56,
38,small,200,groq_worker_2_2,1.58,
39,small,200,groq_worker_2_3,1.56,
40,small,200,groq_worker_2_4,1.55,
41,large,200,groq_worker_1_2,1.78,
42,small,200,groq_worker_1_4,1.78,
43,small,200,groq_worker_1_3,1.51,
44,large,200,groq_worker_1_2,2.03,
45,small,200,groq_worker_1_3,1.97,
46,small,200,groq_worker_2_3,1.76,
47,large,200,groq_worker_2_4,1.7,
48,small,200,groq_worker_2_2,1.78,
49,large,200,groq_worker_2_3,2.06,
50,small,200,groq_worker_1_4,1.59,
51,small,200,groq_worker_1_3,1.84,
52,small,200,groq_worker_2_4,1.88,
53,large,200,groq_worker_2_2,2.08,
54,small,200,groq_worker_1_4,2.05,
55,small,200,groq_worker_1_2,2.17,
56,small,200,groq_worker_1_3,2.14,
57,large,200,groq_worker_1_4,2.16,
58,small,200,groq_worker_2_2,2.19,
59,small,200,groq_worker_1_2,2.3,
60,small,200,groq_worker_2_3,2.19,
61,small,200,groq_worker_2_4,2.16,
62,small,200,groq_worker_1_3,2.28,
63,small,200,groq_worker_1_2,2.42,
64,small,200,groq_worker_2_3,2.34,
65,small,200,groq_worker_2_2,2.34,
66,small,200,groq_worker_1_4,2.3,
67,small,200,groq_worker_1_3,2.41,
68,small,200,groq_worker_1_2,2.62,
69,small,200,groq_worker_2_4,2.05,
70,large,200,groq_worker_2_4,2.76,
71,large,200,groq_worker_2_3,2.48,
72,large,200,groq_worker_1_3,2.62,
73,small,200,groq_worker_2_2,2.48,
74,small,200,groq_worker_1_4,2.64,
75,small,200,groq_worker_1_4,2.42,
76,large,200,groq_worker_2_2,2.7,
77,small,200,groq_worker_1_2,2.75,
78,small,200,groq_worker_2_4,2.27,
79,small,200,groq_worker_2_2,2.94,
80,small,200,groq_worker_2_4,2.39,
81,small,200,groq_worker_1_3,2.88,
82,small,200,groq_worker_2_3,2.69,
83,small,200,groq_worker_2_3,2.83,
84,small,200,groq_worker_2_3,3.08,
85,small,200,groq_worker_2_2,2.81,
86,large,200,groq_worker_2_4,2.89,
87,small,200,groq_worker_1_4,2.75,
88,small,200,groq_worker_1_4,2.88,
89,small,200,groq_worker_1_3,3.12,
90,small,200,groq_worker_1_3,2.75,
91,small,200,groq_worker_2_3,2.95,
92,small,200,groq_worker_1_2,2.88,
93,small,200,groq_worker_2_4,2.62,
94,small,200,groq_worker_2_4,3.14,
95,small,200,groq_worker_2_2,3.08,
96,small,200,groq_worker_1_3,3.0,
97,small,200,groq_worker_1_2,3.0,
98,large,200,groq_worker_2_4,3.0,
99,small,200,groq_worker_1_2,3.12,
100,small,200,groq_worker_1_4,2.99,
101,small,200,groq_worker_1_4,2.42,
102,small,200,groq_worker_1_2,2.58,
103,large,200,groq_worker_2_2,2.48,
104,small,200,groq_worker_2_3,2.44,
105,large,200,groq_worker_2_2,2.53,
106,large,200,groq_worker_1_3,2.44,
107,small,200,groq_worker_1_4,2.45,
108,small,200,groq_worker_1_2,2.56,
109,small,200,groq_worker_2_3,2.47,
110,large,200,groq_worker_2_4,2.38,
111,large,200,groq_worker_2_4,2.5,
112,small,200,groq_worker_1_3,2.44,
113,large,200,groq_worker_1_4,2.45,
114,small,200,groq_worker_1_2,2.55,
115,small,200,groq_worker_2_2,2.47,
116,small,200,groq_worker_2_3,2.41,
117,small,200,groq_worker_1_3,2.41,
118,large,200,groq_worker_2_4,2.45,
119,small,200,groq_worker_1_4,2.42,
120,small,200,groq_worker_2_2,2.44,
121,small,200,groq_worker_1_2,2.5,
